,Name,subscriber_count,number_of_views,total_views,joining_date,country_of_origin
Carry Minati,41.4M subscribers,193 videos,"3,635,867,057 views","Joined Oct 30, 2014",India
Kushal mehra,120K subscribers,"1,144 videos","22,316,028 views","Joined May 4, 2012",India
The Sham Sharma Show,1.44M subscribers,909 videos,"341,582,043 views","Joined Oct 28, 2017",United States
Alternate Media,535K subscribers,"1,687 videos","135,580,361 views","Joined Jun 23, 2020",India
PewDiePie,111M subscribers,"4,753 videos","29,240,732,868 views","Joined Apr 29, 2010",Japan
T-Series,260M subscribers,"20,398 videos","248,195,112,700 views","Joined Mar 13, 2006",India
Cocomelon - Nursery Rhymes,172M subscribers,"1,094 videos","177,434,874,547 views","Joined Sep 2, 2006",United States
SET India,169M subscribers,"130,730 videos","159,493,093,383 views","Joined Sep 21, 2006",India
5-Minute Crafts,80.6M subscribers,"6,887 videos","27,096,428,422 views","Joined Nov 15, 2016",United States
WWE,99.8M subscribers,"74,270 videos","82,046,278,497 views","Joined May 11, 2007",
Kids Diana Show,119M subscribers,"1,164 videos","100,686,559,942 views","Joined May 12, 2015",United States
Like Nastya,113M subscribers,868 videos,"98,138,328,485 views","Joined Dec 6, 2016",United States
Zee Music Company,104M subscribers,"10,202 videos","64,297,003,685 views","Joined Mar 12, 2014",India
Vlad and Niki,112M subscribers,666 videos,"86,281,972,069 views","Joined Apr 23, 2018",United States
